   epsilon         CV     3sigma         HL     Median        box 
         0  0.0002248  0.0002206  0.0002331  0.0002774  0.0003549 
      0.01  0.0007311  0.0002446  0.0002424  0.0002864  0.0003528 
      0.02   0.009557  0.0006503  0.0002372  0.0002739  0.0003401 
      0.03    0.04117    0.00206  0.0002401  0.0002783  0.0003465 
      0.04     0.1347   0.006204  0.0002484  0.0002879  0.0003522 
      0.05     0.3317    0.01429  0.0002453  0.0002829  0.0003392 
      0.06     0.5792    0.02447  0.0002467  0.0002867   0.000342 
      0.07      1.041    0.04435  0.0002472  0.0002842  0.0003376 
      0.08      1.584    0.06961  0.0002424  0.0002762    0.00037 
      0.09      2.174     0.0992  0.0002587  0.0002899  0.0005761 
       0.1      2.909     0.1483  0.0003137  0.0003025  0.0009147 
      0.11      3.484     0.1944  0.0004068  0.0002971   0.001208 
      0.12      3.982     0.2527  0.0004963   0.000298   0.002577 
      0.13      4.472     0.3254  0.0005891  0.0003339    0.00496 
      0.14      5.009     0.4038   0.001019  0.0003173   0.007388 
      0.15      5.186     0.4955   0.002316    0.00034    0.01447 
      0.16      5.508     0.5994   0.003415  0.0003407    0.02182 
      0.17       5.72     0.6912   0.006305  0.0004462     0.0309 
      0.18      5.998     0.8234    0.01091  0.0004331    0.04822 
      0.19      6.101     0.9575     0.0193   0.001052    0.07029 
       0.2      6.319      1.106    0.03292   0.001146     0.1032 
      0.21      6.435      1.245    0.05237   0.002288     0.1436 
      0.22      6.342      1.346    0.07451    0.00298     0.1909 
      0.23      6.356      1.537     0.1247   0.005516     0.2676 
